id,x,y,class
0,38.031394605765875,1019.9541521824848,0
1,29.41773362399895,993.8161464447094,0
2,74.56519808015663,994.113169237184,0
3,21.992163812130908,964.4108899897119,0
4,4.764841848597055,940.3520437992595,0
5,59.41703566394583,913.3229696840598,0
6,20.804072642232022,892.828397003304,0
7,2.9827050937487254,881.8385536817393,0
8,2.685682301274004,840.2553627352783,0
9,41.89269090793726,879.7593941344162,0
10,35.06116668101866,856.8886391138626,0
11,35.35818947349338,829.2655194137136,0
12,56.74383053167334,858.0767302837615,0
13,227.5319345050602,831.938724545986,0
14,237.0366638642513,853.324365604166,0
15,236.44261827930185,794.8108754866458,0
16,256.93719096005765,781.7418726177581,0
17,204.0671338995572,812.0381974501797,0
18,158.3256238584501,798.3751489963425,0
19,153.57325917885453,773.7222572209406,0
20,183.86958401127615,763.0294366918506,0
21,213.27484046627356,748.1782970681146,0
22,244.16521088364462,748.1782970681146,0
23,135.1578460454218,748.4753198605893,0
24,146.74173551846195,703.3278191467665,0
25,118.82159302583811,694.4171353725249,0
26,90.30740494826485,697.6843860897468,0
27,91.19847332568901,663.8237877476286,0
28,110.80197762902064,642.7351694819233,0
29,133.07868706462475,614.22098140435,0
30,160.7018065578591,626.1018931033389,0
31,185.65172112573572,613.6269358194006,0
32,171.09760429447434,664.1208105401032,0
33,215.65102316568257,637.3887592173783,0
34,218.6212510904298,677.189813408991,0
35,237.630709808812,700.9516368069687,0
36,192.780268145129,732.1390300168144,2
37,178.8201968988171,701.2486595994435,2
38,131.59356970309506,991.1429413124368,2
39,162.18691732799138,995.0042376146082,2
40,180.00828487647468,1010.4494228232937,2
41,199.31476638733156,1005.4000353512234,2
42,231.69025076707624,1019.0630838050606,2
43,215.94804276591597,995.5982831995576,2
44,201.39392593465462,980.4501207833468,2
45,216.2450655583907,967.6781407069338,2
46,174.66187461192968,969.4602774617822,2
47,149.41493725157835,937.9758614594616,2
48,226.93788608748068,951.0448643283494,2
49,238.52177499399482,938.8669298368858,2
50,250.40268669298368,973.6185965564282,2
51,274.1645100909614,995.5982831995576,2
52,308.3221312255544,969.4602774617822,2
53,268.8180998264164,949.2627275735011,2
54,210.601632501371,906.1944226646665,2
55,176.444011366778,911.5408329292114,2
56,166.34523642263747,882.4325992666887,2
57,135.45486600526644,870.2546647752251,2
58,131.89059249556976,848.2749781320957,2
59,106.94067792769314,859.2648214536605,2
60,111.6930426072887,880.3534397193657,2
61,81.99076335981654,898.4718300603237,2
62,113.77220215461175,812.3352202426544,2
63,55.85275762204103,780.8508042403339,2
64,125.65311385360062,789.7614880145755,2
65,218.02720231323903,877.3832117946184,2
66,258.1252792973265,892.5313742108293,2
67,350.2023449644901,962.3317304423888,2
68,330.3018178686838,959.0644797251668,2
69,387.03317576356375,942.1341805541077,2
70,333.27205032563916,907.0854910420907,2
71,351.39044066659716,895.7986249280511,2
72,367.1326486677574,910.946787344262,2
73,384.656993423766,896.9867160979501,2
