id,x,y,marker
0,830,104,DAPI
1,797,106,DAPI
2,817,94,DAPI
3,818,122,DAPI
4,772,162,DAPI
5,750,89,DAPI
6,763,77,DAPI
7,827,149,DAPI
8,733,162,DAPI
9,642,236,DAPI
10,595,291,DAPI
11,535,381,DAPI
12,906,489,FITC+TxRed-A-2
13,842,782,DAPI
14,666,755,FITC+TxRed-A-2
15,498,493,DAPI
16,449,368,DAPI
17,402,453,DAPI
18,316,526,DAPI
19,241,115,FITC+TxRed-A-2
20,199,146,FITC+TxRed-A-2
21,264,112,FITC+TxRed-A-2
22,249,183,FITC+TxRed-A-1 
23,165,24,FITC+TxRed-A-1 
24,160,72,FITC+TxRed-A-1 
25,174,92,FITC+TxRed-A-1 
26,175,126,FITC+TxRed-A-1 
27,179,172,FITC+TxRed-A-1 
28,177,205,FITC+TxRed-A-1 
29,185,237,FITC+TxRed-A-1 
30,212,214,FITC+TxRed-A-1 
31,202,261,FITC+TxRed-A-1 
32,217,293,FITC+TxRed-A-1 
33,284,9,FITC+TxRed-A-1 
34,308,9,FITC+TxRed-A-1 
35,313,58,FITC+TxRed-A-1 
36,290,85,FITC+TxRed-A-1 
37,313,118,FITC+TxRed-A-1 
38,301,160,FITC+TxRed-A-1 
39,259,202,FITC+TxRed-A-1 
40,293,207,FITC+TxRed-A-1 
41,290,235,FITC+TxRed-A-1 
42,260,264,FITC+TxRed-A-1 
43,287,292,FITC+TxRed-A-1 
44,246,312,FITC+TxRed-A-1 
45,267,370,FITC+TxRed-A-1 
46,221,348,FITC+TxRed-A-1 
47,185,370,FITC+TxRed-A-1 
48,199,397,FITC+TxRed-A-1 
49,195,429,FITC+TxRed-A-1 
50,238,432,FITC+TxRed-A-1 
51,220,461,FITC+TxRed-A-1 
52,260,493,FITC+TxRed-A-1 
53,288,476,FITC+TxRed-A-1 
54,287,510,FITC+TxRed-A-1 
55,433,44,FITC+TxRed-A-1 
56,457,29,FITC+TxRed-A-1 
57,450,63,FITC+TxRed-A-1 
58,487,40,FITC+TxRed-A-1 
59,530,31,FITC+TxRed-A-1 
60,826,46,FITC+TxRed-A-1 
61,858,28,FITC+TxRed-A-1 
62,1000,179,FITC+TxRed-A-1 
63,976,178,FITC+TxRed-A-1 
64,979,217,FITC+TxRed-A-1 
65,942,207,FITC+TxRed-A-1 
66,933,231,FITC+TxRed-A-1 
67,921,254,FITC+TxRed-A-1 
68,886,280,FITC+TxRed-A-1 
69,896,313,FITC+TxRed-A-1 
70,930,298,FITC+TxRed-A-1 
71,955,293,FITC+TxRed-A-1 
72,954,270,FITC+TxRed-A-1 
73,1004,283,FITC+TxRed-A-1 
74,1003,329,FITC+TxRed-A-1 
75,1013,329,FITC+TxRed-A-1 
76,998,351,FITC+TxRed-A-1 
77,971,337,FITC+TxRed-A-1 
78,950,323,FITC+TxRed-A-1 
79,924,344,FITC+TxRed-A-1 
80,923,365,FITC+TxRed-A-1 
81,938,378,FITC+TxRed-A-1 
82,949,395,FITC+TxRed-A-1 
83,945,419,FITC+TxRed-A-1 
84,966,412,FITC+TxRed-A-1 
85,973,444,FITC+TxRed-A-1 
86,947,436,FITC+TxRed-A-1 
87,998,420,FITC+TxRed-A-1 
88,1000,385,FITC+TxRed-A-1 
89,1008,447,FITC+TxRed-A-1 
90,997,469,FITC+TxRed-A-1 
91,1012,489,FITC+TxRed-A-1 
92,1017,522,FITC+TxRed-A-1 
93,753,321,FITC+TxRed-A-1 
94,760,352,FITC+TxRed-A-1 
95,731,352,FITC+TxRed-A-1 
96,750,381,FITC+TxRed-A-1 
97,777,381,FITC+TxRed-A-1 
98,769,410,FITC+TxRed-A-1 
99,732,406,FITC+TxRed-A-1 
100,691,387,FITC+TxRed-A-1 
101,701,355,FITC+TxRed-A-1 
102,659,376,FITC+TxRed-A-1 
103,642,408,FITC+TxRed-A-1 
104,675,415,FITC+TxRed-A-1 
105,697,439,FITC+TxRed-A-1 
106,676,476,FITC+TxRed-A-1 
107,653,455,FITC+TxRed-A-1 
108,625,437,FITC+TxRed-A-1 
109,611,461,FITC+TxRed-A-1 
110,629,477,FITC+TxRed-A-1 
